,Name,$a_0$ [au],N,$r_0$ [au],$q$ [au],T
0,189040,-1.3e-05,1,1.02,0.09,2021-01-26
1,2009 CD,-1.6e-05,3,1.1,0.1,2021-01-30
2,2020 UB5,-0.00049,4,0.98,0.1,2020-11-26
3,2021 CA1,-0.000141,3,1.02,0.01,2021-02-08
4,2021 CD1,-1e-05,3,1.14,0.05,2021-02-14
5,2021 CH,-3.5e-05,4,1.08,0.02,2021-02-10
6,2021 CM,-5.8e-05,5,1.02,0.03,2021-02-06
7,2021 CP,-3.3e-05,3,0.99,0.02,2021-02-03
8,2021 CS,-1.5e-05,2,1.03,0.08,2021-02-01
9,360502,-3.2e-05,1,1.05,0.22,2021-01-16
10,C/2018 F4,-2e-06,3,10.85,10.37,2020-12-26
11,C/2020 R7,-5e-06,3,6.24,6.22,2020-11-02
12,C/2021 A2,-1e-06,1,1.41,0.5,2021-02-04
13,C/2021 A6,-3e-06,3,7.95,4.93,2021-12-01
14,C/2021 A7,-3e-06,6,2.86,1.97,2021-05-08
15,C/2021 B3,-1e-06,4,2.23,1.88,2021-02-12
16,P/2020 V3,-6e-06,3,6.23,2.93,2019-12-21
17,P/2020 V4,-7e-06,1,5.23,1.51,2019-12-28
